Term,Year,Internship Site,Title (if applicable),Location,Latitude,Longitude,Notes (if any),Notes on Location
Winter,1998,William Blair & Company,Intern,"Chicago, Illinois",41.8755616,-87.6244212,Physical file Inclused Companies annual review,
Spring ,1997,Wildtracks ,Intern,"Sarteneja, Belize",,,,
Summer,2019,Wildlife Friendly Enterprise,Wildlife Intern,"Bainbridge Island, Washington ",47.6476668,-122.5461103,,
Spring,2005,Wildlife Care Center of Belize,Field Assistant,"Camalote, Belize  ",,,,
Summer,1995,Wilderness Treatment Center,Wildlife Intern,"Marion, Montana",48.1056079,-114.6633902,,
Summer ,1982,Wild Winds,,"Naples, New York",42.6160647,-77.4030253,,
"Fall, Summer",2009-2011,Wild Spirit Wolf Sanctuary,Intern,"Ramah, New Mexico",35.1439075,-108.4796563,,
Spring,2020,Wild Roots Farm,Intern,"Livingston Manor, New York",41.9003667,-74.8282167,,
Summer,2021,Wild Roots Farm,Intern,"Livingston Manor, New York",41.9003667,-74.8282167,,
Summer,2017,Wild Gardens of Acadia ,Intern,"Bar Harbor, Maine ",,,,
Summer,2009,Wild Gardens of Acadia,Intern,"Bar Harbor, Maine",44.3876378,-68.2043361,,
Summer,1992,Wild Gardens of Acadia,Intern,"Bar Harbor, Maine",44.3876378,-68.2043361,,
Summer,1985,Wild Gardens of Acadia,Intern,"Bar Harbor, Maine",44.3876378,-68.2043361,,
Summer,1988,Wild Gardens of Acadia,Intern,"Bar Harbor, Maine",44.3876378,-68.2043361,,
Summer,1997,Wild Gardens of Acadia,Intern,"Bar Harbor, Maine",44.3876378,-68.2043361,,
Spring,2006,Wild Gardens of Acadia,Intern,"Bar Harbor, Maine",44.3876378,-68.2043361,Internship Report written in 2010,
Summer,1985,Wild Gardens of Acadia,Summer Worker,"Bar Harbor, Maine",44.3876378,-68.2043361,,
Summer,1987,Whale Research Group at Memorial University,Intern,"St Johns, Newfoundland",47.56494,-52.70931,"All papers taken out of blue binder, a few too small peices could not scan.",
Summer,1982,Whale Research Group,Research Assistant,University of Newfoundland,47.5733473,-52.7333092,,
Summer,2000,Western Ecological Research Center,Resource Assistant,"Las Vegas, Nevada",36.1672559,-115.148516,,
Summer,2011,Westchester Jewish Community Services,Intern,"Hartsdale, New York",,,,
Winter,2016,WERU Community Radio,Office/Station Assistant,"Blue Hill, Maine",44.414164,-68.58696,,
Summer,1993,Wells National Estuarine Research Reserve,Research Assistant ,"Wells, Maine",,,,
Summer,1991,Wellfleet Bay wildlife Sanctuary,Intern,"South Wellfleet, Massachusetts",,,,
Summer,2014,Wediko Children's Services,Residential Counselor,Maine,45.709097,-68.8590201,,
Spring,2015,Wayback Farm,n/a,"Belmont, Maine",,,,
Winter ,2021,Watershed School,Climate Action Leadership Lab Intern,"Camden, Maine",44.210265,-69.065552,,
Summer,2010,Watershed Research Cooperative,Amphibian Field Technition,Oregon,43.9792797,-120.737257,,
"Spring, Summer",1995,Watershed Center for the Ceramic Arts,Intern,"Belfast, Maine",44.4261486,-69.0067249,,
Winter,2007,Watamu Turtle Watch (WTW) and Colobus Trust,Intern,"Watamu, Kenya Diani, Kenya",-3.35,40.0166,,"coordinates for Watamu, Kenya"
Fall,1986,Washurn-Norlands Living History Center,Education Intern,"Livermore Falls, Maine",44.4753426,-70.188114,Physical files emailed to Jill and to Steve Katona,
Spring,1995,Washington-Hancock Community Agency,Intern,"Milbridge, Maine",,,,
Winter,1995,Washington Times Newspaper,Intern,"New York, New York",40.741895,-73.989308,,
Winter,2003,Washington State University,Intern,"Jefferson County, Washington",47.7325289,-123.6328565,,not precise
Winter,2012,Washington Montessori School (WMS),Intern,"Washington, Connecticut",41.6314845,-73.3106731,,
Summer,2018,Washington County Conservation District,Watershed Intern,"Washington, Pennsylvania",,,,
Summer,1977,Warren Wilson College Museum ,Museum Planner,"Swannanoa, North Carolina",35.5998286,-82.4033934,"Not scanned: photos, bound in book",
Spring,2008,Volvo Powertrain Environmental Management Team,Intern,"Hagerstown, Maryland ",,,,
Summer ,2009,Visual Arts Center,Assistant for VisArt Center,NA,,,,
Fall,2008,Vishwa Samvad Kendra Media Center,Media Intern,"Mumbai, India",19.0815772,72.8866275,,
Summer,2009,Virginia Institute of Marine Sciences,Intern,"Williamsburg, Virginia",37.2708788,-76.7074042,,
Fall,2003,Vessel Scorpio's lady,Sterman,"Bar Harbor, Maine",,,,
Summer,2020,Vaughan Woods and Historic Homestead,Intern,"Hallowell, Maine",44.2856028,-69.790165,,
Summer,2008,Valleywide Veternary Services Inc.,Intern,"Cornwall, Vermont",43.9609015,-73.2098352,,
Summer,2010,USDA Forest Service,Volunteer Intern,"Davis, California",,,,
Spring,2017,US Department of Education,Intern,"Washington, D.C.",38.8950368,-77.0365427,,
Summer,2020,US Committee for Refugees and Immigrants,Refugee Services Student Volunteeer,"Albany, New York",42.6511674,-73.754968,,
,1976,Urban Environmental Education Project,Co-worker,"Washington, D.C.",38.8950368,-77.0365427,,
"Summer, Fall",1978,Upward Bound Program,Tutor-Counselor,"Canton, New York",,,,
Summer,1973,Upward Bound,Intern,"Orono, Maine",44.883607,-68.672791,,
Summer,1998,Upper Valley Land Trust,Intern,"Hanover, New Hampshire",43.703622,-72.288666,Not included calandar 1999,
Summer,1995,Up With People,Intern,"Broomfield, Colorado",39.9403995,-105.05208,,
Winter,1992,University of Rhode Island,Field Assistant,Belize,,,,
Winter,2008,University of Pennsylvania,Research Assistant,"Philadelphia, Pennsylvania",39.9527237,-75.1635262,,
Summer,1998,University of Otago,Intern,"South Island, New Zealand",-45.8649793,170.5146149,,
"Fall, Winter, Spring","1974, 1975",University of Oslo,Intern,"Oslo, Norway",59.9133301,10.7389701,,
Winter,2015,University of North Texas,Intern,"Denton, Texas",33.1838787,-97.1413417,,
Summer,2014,University of Nevada,Research Assistant,"Reno, Nevada",39.5261206,-119.8126581,,
Summer,1994,University of Maryland's Ecological Economics Department,Intern,"Elkridge, Maryland",39.2128338,-76.7137155,Included brochure,
Summer,2003,University of Maryland,Research Assistant,"College Park, Maryland ",,,,
Winter,1996,University of Maine Cooperative Extension,Research Assistant,"Auburn, Maine",44.0979903,-70.2312137,,
Summer,2004,University of Maine ,Intern,"Orono, Maine",44.883607,-68.672791,,
Spring,2008,University of Latvia,Assistant,"Riga, Latvia",56.8406494,24.7537645,,
Winter,2010,University of Ecuador,Research Assistant,"Quito, Ecuador",-0.2201641,-78.5123274,,
Summer,2018,University of California Santa Barbara,REU intern,"Santa Barbara, California",34.4221319,-119.702667,,
Fall,2009,University of California Berkley,Carnivore Ecology Volunteer,"Berkeley, California",37.8708393,-122.272863,,
Fall,1999,University of California Berkeley,Archeologist Assistant,"Baja, CA",,,,
Summer,1999,University of California,Research Intern,"Davis, California ",,,,
Summer,2014,University of Arizona Biosphere 2,Undergraduate Researcher,"Tucson, Arizona",,,,
Spring,1982,University of Alaska Bairbanks,Intern,"Fairbanks, Alaska",64.837845,-147.716675,,
Summer,2022,United World College ,Facilitator,"Brandenburg, Germany ",,,,
Summer,2020,United States Geological Survey,Intern,"Woods Hole, Massachusetts",,,,
Summer,"1997, 1998, 1999",United States Forest Service,Intern,"Idaho Springs, Fort Collins, Colorado",39.7425969,-105.5136365,,"coordinates for Idaho Springs, CO"
Summer,2005,United States Fish and Wildlife Services,Intern,"Bar Harbor, Maine",44.3876378,-68.2043361,,
Summer,1998,United States Fish and Wildlife Service (USFWS),Intern,"Albuquerque, New Mexico",35.08449,-106.65114,,
Summer,1996,United States Fish and Wild Life (USFWF),Intern,"Milbridge, Maine",44.5353533,-67.881173,,
Spring,2008,United Planet,Volunteer,"Boston, MA",,,,
Summer,2006,United Nations University for Peace,Coordinator,"Ciudad Colon, Costa Rica",,,,
Winter,2011,United Nations Development Fund for Women (UNIFEM),Intern,"Damascus, Syria",33.5130695,36.3095814,,
Summer,2019,UNESCO Champlain-Adirondack Biosphere Rescue,Intern,"Westport, New York",44.184174,-73.435707,,"cannot find WEST PORT which was entered, coordinates for WESTPORT"
Spring,1990,Underwater Vehical Laboratory,Intern Technician ,Massachusetts,,,,
Summer,2016,Umhverfisstofnun,Nature Conservation Volunteer,"Reykjavík, Iceland",64.145981,-21.9422367,,
Fall,2007,Uganda Fisheries Development Association,Development Intern,"Jinja, Uganda ",,,,
Winter,2020,Uetoh-Zohen Co. LTD,Landscape Intern,"Kyoto, Japan",,,,
Summer,1983,UConn Marine Sciences Institute,Intern,"Groton, Connecticut",,,,
Winter,2004,UCA MIRAFLOR,English Teacher,"Esteli, Nicaragua",,,,
 Summer,1997,U.S. Forest Service,Wilderness Monitoring Intern,"Durango, Colorado",37.2395367,-107.8215818,Included Topography Map of Camp,
Summer,2019,U.S. Fish and Wildlife Services ,Intern,"Augusta, Arkansas ",,,,
Winter,2007,U.S. Fish and Wildlife Service,Intern,"Tern Island, Hawaii",23.8699065,-166.2834,,
Spring,2015,U.S. Bells,Foundry Intern,"Prospect Harbor, Maine",,,,
Winter,1994,U.S Department of Agriculture,Research Assistant,"Snow Hill, Maryland",38.1770634,-75.3926959,,
Summer,1992,Two Harbors Campground,Assistant Ranger,"Santa Catalina Island, California",,,,
Summer,1980,Twin Cities Tree Trust,Crew Chief,"St. Louis Park, Minnesota",,,,
Summer,1992,Tvarminne Zoological Station,Research Assistant,"Hanko, Finland",,,,
Summer,1992,Tuva Foundation,Research Assistant,"Peninsula de Osa, Costa Rica",8.6331702,-83.5829238,,
Summer,1999,Turpentine Creek Exotic Wilflife Refuge,Animal Caretaker,"Eureka Springs, Arkansas",,,,
Summer,2012,Tufts University,Undergraduate researcher,"Medford, Massachusetts",42.4184296,-71.1061639,,
Fall,1984,Trinity Square Repertory Theatre,Production Stage Management Crew,"Providence, Rhode Island",,,,
Summer,1980,Trinity Episcopal church,Intern,"Upperville, Virginia",38.962661,-77.884726,,
Summer,2022,Triebwerk Agroforestry Office,Intern,"Witzenhausen, Hessen, Germany",,,,
NA,1996-2008,Tremont Consolidated School,Co-director,"Mount Desert, Maine",44.3486501,-68.3435443,,
Summer,2013,Tree of Life Day Spa Inc. ,Massage Therapist,"Bar Harbor, Maine",44.3876378,-68.2043361,,
Fall,2007,Tree of Life Day Spa & Acadia School of Massage,,"Bar Harbor, Maine",44.3876378,-68.2043361,,
Spring,2002,Travelodge,Assistant Desk Clerk,"Ellsworth, Maine",44.5414036,-68.4243047,,
Summer,2015,Transforming Education,Intern,"Boston, Massachusetts",42.3554334,-71.060511,,
Winter,1988,TRANET,Intern,"Rangeley, Maine",,,,
Summer,1999,Trailmark Outdoor Adventures,Intern,"Nyack, New York ",,,,
Summer,2007,Townhouse Creamery,Intern,"Whitefield, Maine",44.1700735,-69.6253223,,
Summer,1998,Town of Bar Harbor,Deputy Harbormaster/Assistant Harbormaster,"Bar Harbor, Maine",,,,
Summer,2018,Town of Arlington,Intern,"Arlington, Massachusetts",42.4153739,-71.1564428,Included local shop guide ,
Winter,2011,Town Hill Market,Intern,"Bar Harbor, Maine",,,,
Summer,2004,Total It Group,Intern,"Boston, Massachusetts",42.3554334,-71.060511,,
Summer,2018,Toddy Pond Farm,Farm Apprentice,"Monroe, Maine",44.6154,-69.018173,,
Spring,2007,TNT Design Group,Intern,"New York, New York",40.741895,-73.989308,,
Winter,2014,Tirimbina Biological Reserve,Intern,"Heredia, Costa Rica",,,,
Summer,2021,Tinder Hearth Bakery,Sourdough Baker,"Brooksville, Maine",,,,
Winter,2010,Time Out Magazine,Intern,"Bengaluru, India",,,,
Spring,1992,Tilbury House Publishing Company,Intern,"Gardiner, Maine",,,,
Summer,1995,Tilbury House,Intern,"Gardiner, Maine",44.2297027,-69.7731228,,
Winter,2014,Tichenor and Thorpe,Intern,"Los Angeles, California",,,,
Summer,2019,Thrive Juice Bar and Kitchen,Business Management Intern,"Bar Harbor, Maine",44.3876378,-68.2043361,,
Summer,2022,Three Oaks Farm,Outdoor Nature Specialist,"Forest Hill, Maryland",39.5851063,-76.387739,,
Summer,2000,Three Mile Island Camp,Intern,"Lexington, Massachusetts",42.4473175,-71.2245003,,
Summer,2014,Third World Network,Research Assistant,"Petaling Jaya, Malaysia",3.0988792,101.6454202,,
Summer,2012,Third World Network,Research Intern,"Geneva, Switzerland",46.2017559,6.1466014,,
Summer,1987,Theater for the New City,Tech Director,"Washingtonville, NY",,,,
Summer,1995,The York Art Association,Intern,"York, Pannsylvania",,,,
Summer,1989,The Wolf/Bison Program,Intern,"Northwest Territories, Canada",65.0000004,-118,,
Summer,2012,The Washington Spectator,Editorial Intern,"Chicago, Illinois",,,,
Winter,1992,The Wadsworth Atheneum,Intern,"Hartford, Connecticut",,,,
Summer,1981,The W. Alton Jones Environmental Education Center,Intern,"West Greenwich, Rhode Island",,,,
Summer,2011,The Urban Farmers,"Farmer, Community Organizer","Lafayette, CA",,,,
Summer,1980,The University of North Carolina/Chapel Hill,Research Assistant,"Chapel Hill, North Carolina",35.9131542,-79.05578,,
"Spring, Summer, Fall",2008,The Sudio,Recording Engineer,"Portland, Maine",43.6573515,-70.2584115,,
Summer,1985,The Society for Human Ecology,Intern,"College Park, Maryland ",,,,
Summer,2006,The Smithsonian,Intern,Washington D.C.,,,,
Winter,1989,The Scottish Society for the Prevention of Vivisection,Researcher,"Edinburgh, Scotland",55.9533456,-3.1883749,,
Fall,2001,The Scherer Institute of Natural Healing,Massage Therapist,"Taos, New Mexico",,,,
Spring,2014,The Sable Project,Intern,"Stockbridge, Vermont",43.7867833,-72.7541561,,
"Winter, Spring, Fall",1982,"The Rural Education Center, INC.",Intern,"Wilton, New Hampshire",42.843419,-71.7350741,Included COA magazine Winter 1998/99,
Fall,1996,The Raptor Trust,Intern,"Millington, New Jersey",40.6736216,-74.5235057,Physical file included print of emails fron Books to Jill,
Spring ,1985,The Project on the Present Danger,Intern,"Cambridge, Massachussets",42.3655767,-71.1040018,,
Summer,2015,"The Press at the Palace of the Governors, New Mexico History Museum",Press Intern,"Santa Fe, New Mexico",,,,
Winter,2000,The Potter's House,Apprentice,"Winthrop, Maine",44.305178,-69.977417,,"cannot find WINTHOP which was entered, coordinates for WINTHROP"
Fall,2018,The Permanent Mission of the Slovak Republic to the United Nations,Assistant to the Third Secretary,"New York, New York",,,,
Summer,2007,The Perigrine Fund,Aplomado Falcon Hawk Site Attendant,"San Antonio, New Mexico",33.9176747,-106.8677064,"File folder labled ""Calabria, Stefanie""",
Summer,1997,The Performing Arts Association of Foley,Intern ,"Foley, Alabama ",,,,
Fall,1986,The Panamerican School,Student Teacher,Costa Rica,,,,
Spring,2016,The Osher Clinic Center For Integrative Medicine,Research Assistant,"Boston, Massachusetts",42.3554334,-71.060511,,
Summer,2017,The Ogasawara Ocean Center,Intern,"Chichijima, Japan",27.070891,142.2095681,,
Winter,2001,The Ocean Alliance,Intern,International / on RV Oddesey ,,,,
Spring,2018,The Oakland Institute,Intern Fellow,"Oakland, California",37.8044557,-122.271356,,
Fall+Summer,1982,"The New Brunswick Museum, National Museum of Natural Science",Intern,"Saint John, New Brunswick + Ottawa, Ontario",45.278752,-66.058044,"A.K.A Skip, Married Rebecca, Awww.",
Spring,1974,The Nature Conservancy,Intern,"Deer Isle, Maine",44.224044,-68.677597,Included mulple copies,
Winter,1974,The Nature Conservancy,Intern,"Deer Isle, Maine ",,,,
Summer,1976,The Nature Conservancy,Intern,"Little Duck Island, Frenchboro, Maine",,,,
Summer,1999,The Natural History Museum,Intern,"Bar Harbor,Maine",44.3876378,-68.2043361,1999 Summer Field Studies Brochure,
Fall,1981,The National Wildlife Federation,Intern,"Washington, D.C.",38.8950368,-77.0365427,,
Summer,1980,The National institute for Transition (TRANSIT),Intern,"Portland, Maine",43.6573515,-70.2584115,"Married Skip, Awwww.",
Summer,2017,The Museum of Comparative Zoology,Volunteer Intern,"Cambridge, Massachusetts",42.3655767,-71.1040018,,
Summer,2000,The Mountain Institute,Field Researcher,"Kathmandu, Nepal",27.708317,85.3205817,,
Summer,2009,The Massachusetts Executive Office of Energy and Enviromental Affairs,GIS Support Intern,"Cambridge, Massachusetts",,,,
Summer,2013,The Marine Mammal Center,Standing Department Intern,"Sausalito, California",37.847281,-122.480774,,"cannot find SAUSALITA which was entered, coordinates for SAUSALITO"
Summer,1978,The Maine Youth Conservation Corps,Intern,Maine,45.709097,-68.8590201,,
Summer,1999,The Maine Photographic Workshops,Intern,"Rockport, Maine",44.1845236,-69.0761491,Included the The Maine Photographic Workshops magazine 1999,
Summer,1999,The Maine Photographic Workshops,Custom Lab Mangement Technician,"Rockport, Maine",,,,
Fall,1991,The Ledger,Intern,"Lakeland, Florida",28.0394654,-81.9498042,,
Summer,2016,The Land & Garden Preserve,GIS Intern,"Seal Harbor, Maine",,,,
Summer,2008,The Knowles Company,Intern,"Northeast Harbor, Maine",44.2942468,-68.2897381,,
Winter,2007,The Jackson Laboratory,Intern,"Bar Harbor,  Maine",44.3876378,-68.2043361,,
Fall,2022,The Jackson Laboratory,Sustainability Intern,"Bar Harbor, Maine",44.3876378,-68.2043361,,
Summer,2016,The Jackson Laboratory,Summer Student Program Intern,"Bar Harbor, Maine",,,,
Summer,2003,The Jackson Laboratory,Research Assistant,"Bar Harbor, Maine",,,,
"Winter, Fall","1995, 1996",The Internet Access Company,Customer Service Rep,"Bedford, Massachusetts",42.4917301,-71.2817947,,
Spring,2013,The Independent Cafe,Intern,"Bar Harbor, Maine",44.3876378,-68.2043361,,
Fall,1977,The Herrick Corporation,Intern,"Blue Hill, Maine",44.414164,-68.58696,,
Winter,2008,The Health Awareness Center,Research Intern,"Bar Harbor, Maine",44.3876378,-68.2043361,,
Spring,1981,The Hanover Consumer Cooperative Society ,Intern,"Hanover, New Hampshire ",,,,
"Winter, Spring",1989,The Great Lake National Fish Hatchery,Intern,"Ellsworth, Maine",44.5414036,-68.4243047,,
Summer,2003,The Fund for Public Interest Reaserch,Intern,"Portland, Maine",43.6573515,-70.2584115,,
Summer,1987,The Fulford Brothers Nursery,Intern,"Monroe, Maine",44.6154,-69.018173,,
August,2020,The Friends School of Portland,Intern,"Portland, Maine",43.6573515,-70.2584115,,
Fall,2002,The Filed Museum,Intern,"Tsavo, Kenya",-2.9954083,38.4587414,,
Spring,2009,The Ferri Godmother,Intern,"Middlefield, Connecticut",,,,
Summer,1998,The Farm School,Intern Farmer and Teacher,"Athol, Massachusetts",42.594001,-72.2268141,,
Summer,2000,The Executive Office of Environmental Affairs,Assistant to Team Leader,"Greenfield, Massachusetts",42.5876342,-72.6002068,,
Winter,2003,The Empowerment Project,Intern,"Haileyville, Oklahoma",34.8549722,-95.5818166,,
Winter,2003,The Edge Program,Intern,"Cherryfield, Maine",,,,
Winter,1993,The Ecology Center,Research Assistant,"Ann Arbor, Michigan",42.2813722,-83.7484616,Included The Ecologu Center journal,
Summer,2012,The Echinacea Project,Field Researcher,"Chicago, Illinois",41.8755616,-87.6244212,,
Fall,2009,The Dirty Projectors,Assistant to Band Manager,"Brooklyn, New York",40.6526006,-73.9497211,,
Summer,1980,The Craft Cooperative,Intern,"Bar Harbor, Maine",,,,
Fall,1979,"The Conservation Foundation, Coastal Resources Program",Research Assistant,"Washington, D.C.",,,,
Fall,2019,The Community School,Teacher Assistant,"Bar Harbor, Maine",44.3876378,-68.2043361,,
Winter,2018,The Climbing Life Guides,Climbing Guide Assistant,"Joshua Tree, California",34.1366594,-116.3616584,,
Winter,1983,The City of Boulder Energy Office,Intern,"Boulder, Colorado",40.0149856,-105.270545,,
Winter,2009,The Children's Museum & Theater of Maine,Intern,"Portland, Maine",43.6573515,-70.2584115,,
Summer,2012,The Charles River Conservatory,Design Intern,"Cambridge, Massachussets",42.3655767,-71.1040018,,
Spring,2018,The Chain Collective,Communications and Projects Intern,"Matagalpa, Nicaragua",,,,
Fall,2003,The Center for Sex and Culture,Program Director ,"San Francisco, California",,,,
Spring/Summer,1981,The Center for Human Ecology Studies,Intern coordinator,"Freeport, Maine",,,,
Winter,2001,The Center for Environmental Enterprise,Intern,"South Portland, Maine",43.6414716,-70.2408811,,
Winter,1990,The Cathering Campground,Intern,"Surry, Maine",,,,
Summer,1999,The California Academy of Sciences,Intern,"San Francisco, California",37.7792588,-122.4193286,,
Summer,2006,The Burning Tree Restaurant,Prep Cook,"Otter Creek, Maine",,,,
Summer,2018,The Burning Tree,Prep Chef,"Otter Creek, Maine",44.3184135,-68.2075128,,
Fall,2004,The Brye Recording Studio,Sound Engineer Assistant,"Kiltarlity, Scotland",,,,
Summer,2002,The Bike Farm,Program counselor,"Cushing, Wisconsin",45.5705132,-92.6510407,,
Winter,1978,The Belfast Institute,Intern,"Montrerrat, UK",,,,"cannot find Montrerrat, cannot find where exactly The Belfast Institute is, is it in Belfast?"
Fall,2014,The Bay School,Student Teacher,"Blue Hill, Maine",44.414164,-68.58696,,
Not Stated,1990s?,The Avalon ,Busser,"Boston, Massachusetts",,,,
Spring,2009,The Anthill Farm,Farm Co Manager,"Honesdale, Pennsylvania",41.5771005,-75.2580212,,
Spring,1997,The Alternative Market/Benbow's Coffee Roasters,Intern,"Bar Harbor, Maine",44.3876378,-68.2043361,,
Winter,2011,The Academmy of Natural Sciences,intern ,Philadelphia,,,,
Winter,2016,The Abbe Museum,Exhibition Design Intern,"Bar Harbor, Maine",,,,
Summer,2015,The 1932 Criterion Theatre,Intern,"Bar Harbor, Maine",44.3876378,-68.2043361,,
Summer,2011,Teton Valley Ranch Camp Education Faundation,Backcountry Guide,"Jackson, Wyoming",43.479965,-110.761815,,
Summer,1990,Teton Science School,Intern,"Kelly, Wyoming",43.6224604,-110.6259023,Included journal from Teton Science school,
Summer,1995,Teton science Center,Intern,"Kelly, New York",,,Not Scanned: Teton Science School 1999 ,
Summer,1980,Terry T. Witharm,Intern,"Dillon Beach, California",,,,
Summer,2011,Teresa Johnson,Intern,"Orono, Maine",44.88535663,-68.66997805,,
Summer,1990,Teel Cove Farm,Intern,,,,,
"Winter, Fall, Winter","2003, 2004, 2005",Technology for Social Change,Intern,"Boston, Massachusetts",42.3554334,-71.060511,,
Spring,2009,Tech-Med Services Inc.,Graphic Designer,"Smithtown, New York",,,,
Spring,1992,"Teaching English in St Petersburg, Russia",English Teacher,"St Petersburg, Russia",59.938732,30.316229,Watson Scholarship ,
Summer,2022,Taylor shellfish Farms,Intern,"Shelton, Washington",,,,
Summer,2002,Tanglewood 4-H Camp,Loon Biologist/Enviromental Educator,"Lincolnville, Maine",44.2811892,-69.0086453,Physical file included Biodivercity Reserch Institutes brochure,
Winter,2000,Talking Across the Lines: Worldwide Conversations,Intern,"Elkins, West Virginia ",,,,
Winter,2001,Sweet Pea's Farm,Intern,"Salsbury Cove, Maine",44.43082,-68.28341,,
Spring,2021,Sweet Earth Farm,Intern,"Friday Harbor, Washington",48.5342662,-123.017124,,
Fall,2009,Sustainable Harvest International (SHI),Intern,"Punta Gorda Town, Belize",16.0990897,-88.8078855,,
Summer,2020,Sustainable Food Systems Research Collaborative,Research Fellow,"Orono, Maine",44.88535663,-68.66997805,,
Spring,2015,Sustainable Bolivia,Intern,"Cochabamba, Bolivia",-17.4012458,-66.1675681,,
Summer,1985,Sustainable Agriculture program,Intern,"Davis, California",38.5435526,-121.739005,,
Fall,2013,Susanne Grosjean,Intern,"Franklin, Maine",44.916814,-70.4395797,,
"Summer, Fall",1992,Susann Maybach's Farm,Intern,"Paonia, Colorado",38.866809,-107.582694,,"cannot find Pionia which was entered, coordinates for PAONIA"
Fall,2014,Super Chilly Farm,Intern,"Palermo, Maine",44.4080404,-69.4728561,,
Spring,2019,Suntime Farm and Hoomestead,Intern,"Putney, Vermont",42.9751766,-72.5215973,,
